------------------------------
Process Logger :Tue Nov 29 04:24:45 2022
------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 124, 'username': None, 'name': 'Registry'}
{'pid': 520, 'username': None, 'name': 'smss.exe'}
{'pid': 556, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 692, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 780, 'username': None, 'name': 'csrss.exe'}
{'pid': 804, 'username': None, 'name': 'svchost.exe'}
{'pid': 880, 'username': None, 'name': 'wininit.exe'}
{'pid': 952, 'username': None, 'name': 'services.exe'}
{'pid': 972, 'username': None, 'name': 'lsass.exe'}
{'pid': 992, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1092, 'username': None, 'name': 'svchost.exe'}
{'pid': 1116, 'username': None, 'name': 'svchost.exe'}
{'pid': 1148, 'username': None, 'name': 'svchost.exe'}
{'pid': 1312, 'username': None, 'name': 'TrustedInstaller.exe'}
{'pid': 1316, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 1400, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'TextInputHost.exe'}
{'pid': 1404, 'username': None, 'name': 'svchost.exe'}
{'pid': 1412, 'username': None, 'name': 'svchost.exe'}
{'pid': 1420, 'username': None, 'name': 'svchost.exe'}
{'pid': 1500, 'username': None, 'name': 'svchost.exe'}
{'pid': 1508, 'username': None, 'name': 'svchost.exe'}
{'pid': 1596, 'username': None, 'name': 'svchost.exe'}
{'pid': 1612, 'username': None, 'name': 'svchost.exe'}
{'pid': 1632, 'username': None, 'name': 'svchost.exe'}
{'pid': 1664, 'username': None, 'name': 'IntelCpHDCPSvc.exe'}
{'pid': 1712, 'username': None, 'name': 'MemCompression'}
{'pid': 1752, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 1812, 'username': None, 'name': 'svchost.exe'}
{'pid': 1824, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'UserOOBEBroker.exe'}
{'pid': 1872, 'username': None, 'name': 'svchost.exe'}
